"company","MA_opt","SD_opt","strategy_return","buy_hold_return","strategy_return_year","buy_hold_return_year","nb_years"
"Adidas",29,3.1,10.450117592101,6.38757843548213,0.186594831722555,0.150661324769121,14.25
"Air Liquide",15,2.4,5.84555817267862,1.77513667989035,0.144524736659099,0.0742557220105187,14.25
"Airbus",12,4.1,6.82168496486503,3.04224406744551,0.155281294853511,0.102986005622093,14.25
"Anheuser-Busch Inbev",26,3.5,2.57727021579548,0.731520631187234,0.0935678569519285,0.0392780774212165,14.25
"ASML Holding",25,4.9,19.3056668040361,17.8346827997237,0.235272048577277,0.228770449775338,14.25
"Axa",33,3,2.03284159447005,-0.271159234863032,0.0809709328042638,-0.0219519616908175,14.25
"BNP Paribas",10,2,3.33837563325084,-0.398121691827254,0.108471962028893,-0.0350008612932731,14.25
"CAC 40",12,2.8,1.96892519466676,0.109267624706135,0.0793563726976034,0.00730373609870294,14.25
"Engie",19,2.2,0.603037072003921,-0.624876509791957,0.0336702204430481,-0.0664931868659945,14.25
"ENI",26,3.5,0.809046661200374,-0.589056687586589,0.042477404379698,-0.0604995841915285,14.25
"Essilorluxottica",19,2.2,4.68539155533739,2.17370603105544,0.129706534187989,0.0844203602269944,14.25
"EUROSTOXX 50",12,2.6,1.53349557668051,-0.0871648743837772,0.0686034459631557,-0.00648849419401798,14.01
"Danone",11,2.1,2.57155115991498,0.0963648220808169,0.0934450772785567,0.00647702614801227,14.25
"Hoffmann Green Cement Technologies",21,3.8,0.760151702609496,0.510438490906138,0.469064568593979,0.323850078956747,1.47
"ING Groep",12,3.4,1.60387312489315,-0.599283065523212,0.0694643276326026,-0.0621595483154463,14.25
"KERING",10,2.7,9.80490286393126,4.72475640963662,0.181774998021197,0.130253682440272,14.25
"Koninklikke Ahold Delhaize",31,3.8,4.26720573039774,1.39695696116736,0.142891086930439,0.0728013505614018,12.44
"Koninklijke Philips",18,2,3.05966314110401,0.733946457753273,0.103318886708586,0.0393801869499104,14.25
"L'Oreal",10,2.9,11.2950900529898,3.43266064129309,0.192538478715341,0.110145655703719,14.25
"LVMH",21,3.9,11.4198996902088,6.21815947466142,0.193384016125485,0.148789491535623,14.25
"McPhy Energy",30,4.9,6.34852784524908,1.92764984356103,0.328051273707554,0.165094588957757,7.03
"NASDAQ 100",13,3.1,10.575606546212,6.78267414835448,0.187646139986737,0.15499278953057,14.24
"Neste",12,4.9,7.77845127746638,4.9518375273143,0.164675031588237,0.133343291830381,14.25
"Nokia",12,5,0.792659013468899,-0.773361717140549,0.0418118944858348,-0.0989264751108415,14.25
"Orange",11,3.9,1.57822196371008,-0.527538964500476,0.0687215893965614,-0.0512572043886463,14.25
"Prosus",27,3.3,1.08277262738367,0.405931398169478,0.595719674033303,0.242352015182724,1.57
"S&P 500",15,2.7,3.24949435260292,1.86709694379314,0.106941850672299,0.0767720215685386,14.24
"Safran",16,4.6,13.494945464497,5.53779530952567,0.206393207320881,0.140836087304234,14.25
"Sanofi",35,2.6,3.11813338992248,0.278899573541738,0.104426632613039,0.0174130273697084,14.25
"Schneider Electric",13,2,14.2487876266297,2.06179088100613,0.210693072060974,0.081691820361953,14.25
"Societe Generale",13,4.3,2.37096819054485,-0.813495516505082,0.0890188932593374,-0.111166734596194,14.25
"STMicroelectronics",16,4.2,5.96919692960384,1.36576160070546,0.145963323707853,0.0622911844036378,14.25
"Total",13,3.2,1.52237268445095,-0.263687015524035,0.0670803945109004,-0.0212516345867551,14.25
"Unibail-Rodamco-Westfield",13,4.2,2.48685435909428,-0.619435651370032,0.0916050355132609,-0.0655493768732518,14.25
"Unilever",10,2.8,0.101309581143794,-0.0062801966089453,0.328198522095799,-0.0183587976328676,0.34
"Vinci",11,2.9,8.27479030859321,0.872360623011128,0.169178954742585,0.0449970214103825,14.25
"Vivendi",11,2.1,4.63783428643835,-0.0878036353792773,0.12904079815142,-0.00642837184698752,14.25
"Worldline",33,3.2,7.98449218003502,3.57725741006761,0.382398534559174,0.251510263041276,6.78
