Ticker,Company
ADS.DE,Adidas
AI.PA,Air Liquide
AIR.PA,Airbus
ABI.BR,Anheuser-Busch Inbev
ASML.AS,ASML Holding
CS.PA,Axa
BNP.PA,BNP Paribas
^FCHI,CAC 40
ENGI.PA,Engie
ENI.MI,ENI
EL.PA,Essilorluxottica
^STOXX50E,EUROSTOXX 50
BN.PA,Danone
ALHGR.PA,Hoffmann Green Cement Technologies
INGA.AS,ING Groep
KER.PA,KERING
AD.AS,Koninklikke Ahold Delhaize
PHIA.AS,Koninklijke Philips
OR.PA,L'Oreal
MC.PA,LVMH
MCPHY.PA,McPhy Energy
^NDX,NASDAQ 100
NESTE.HE,Neste
NOKIA.HE,Nokia
ORA.PA,Orange
UG.PA,Peugeot S.A.
PRX.AS,Prosus
^GSPC,S&P 500
SAF.PA,Safran
SAN.PA,Sanofi
SU.PA,Schneider Electric
GLE.PA,Societe Generale
STM.PA,STMicroelectronics
FP.PA,Total
URW.AS,Unibail-Rodamco-Westfield
UNA.AS,Unilever
DG.PA,Vinci
VIV.PA,Vivendi
WLN.PA,Worldline
